,text,scores,boxes,centroid,source
0,9,0.5678291320800781,"[[1396.0, 4.0], [1426.0, 4.0], [1426.0, 24.0], [1396.0, 24.0]]",POINT (1411 14),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
1,ju (dago),0.9310433864593506,"[[1492.0, 2.0], [1556.0, 2.0], [1556.0, 16.0], [1492.0, 16.0]]",POINT (1524 9),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
2,q,0.8978416323661804,"[[374.0, 24.0], [396.0, 24.0], [396.0, 44.0], [374.0, 44.0]]",POINT (385 34),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
3,o taman kkanaakanak,0.6072223782539368,"[[626.0, 72.0], [795.0, 67.0], [796.0, 109.0], [627.0, 114.0]]",POINT (711 90.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
4,spanna,0.5159063935279846,"[[1263.0, 65.0], [1279.0, 68.0], [1269.0, 121.0], [1253.0, 118.0]]",POINT (1266 93),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
5,chi arjuna wijaya,0.9978615045547485,"[[72.0, 88.0], [180.0, 90.0], [180.0, 112.0], [72.0, 110.0]]",POINT (126 100),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
6,r h '4 1p,0.5906050205230713,"[[1247.0, 110.0], [1276.0, 115.0], [1263.0, 189.0], [1234.0, 184.0]]",POINT (1255 149.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
7,batao & soiy,0.5428959727287292,"[[995.0, 127.0], [1150.0, 132.0], [1149.0, 176.0], [994.0, 171.0]]",POINT (1072 151.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
8,splu dago,0.9620510935783386,"[[1332.0, 122.0], [1440.0, 119.0], [1440.0, 141.0], [1332.0, 144.0]]",POINT (1386 131.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
9,o madarsah panggeuing,0.9629416465759277,"[[80.0, 141.0], [256.0, 144.0], [256.0, 166.0], [80.0, 163.0]]",POINT (168 153.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
10,ang udin,0.735863983631134,"[[1026.0, 146.0], [1080.0, 146.0], [1080.0, 159.0], [1026.0, 159.0]]",POINT (1053 152.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
11,dago,0.8708611726760864,"[[1358.0, 167.0], [1422.0, 167.0], [1422.0, 195.0], [1358.0, 195.0]]",POINT (1390 181),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
12,o raok andalsi..,0.6845217347145081,"[[1344.0, 233.0], [1486.0, 233.0], [1486.0, 277.0], [1344.0, 277.0]]",POINT (1415 255),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
13,and coffee bar,0.9986479878425598,"[[1004.0, 275.0], [1100.0, 275.0], [1100.0, 295.0], [1004.0, 295.0]]",POINT (1052 285),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
14,enzy enterprise,0.9693371057510376,"[[247.0, 304.0], [381.0, 314.0], [379.0, 341.0], [245.0, 332.0]]",POINT (312.59611231101513 322.72012239020876),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
15,o alam printing,0.9277394413948059,"[[516.0, 309.0], [632.0, 309.0], [632.0, 331.0], [516.0, 331.0]]",POINT (574 320),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
16,acell kuota,0.9836007952690125,"[[1084.0, 333.0], [1180.0, 333.0], [1180.0, 355.0], [1084.0, 355.0]]",POINT (1132 344),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
17,moannad',0.582648515701294,"[[405.0, 352.0], [517.0, 357.0], [515.0, 393.0], [403.0, 388.0]]",POINT (460 372.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
18,sukabum,0.9993511438369751,"[[344.0, 369.0], [404.0, 369.0], [404.0, 389.0], [344.0, 389.0]]",POINT (374 379),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
19,plaz,0.997464656829834,"[[450.0, 369.0], [476.0, 369.0], [476.0, 385.0], [450.0, 385.0]]",POINT (463 377),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
20,ai - cha ice cream &,0.9878822565078735,"[[970.0, 383.0], [1110.0, 383.0], [1110.0, 403.0], [970.0, 403.0]]",POINT (1040 393),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
21,o sd mardi waluya,0.9447251558303833,"[[1324.0, 379.0], [1460.0, 379.0], [1460.0, 399.0], [1324.0, 399.0]]",POINT (1392 389),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
