,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link,intersect
0,-6.919626,106.9313561,"PISANG KEJU (Dago) ""Den HASAN""",Kafe,Telepon: 0856-2464-0633 ,"Alamat: 3WJJ+4GX, Jl. Ir. H. Juanda, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/PISANG+KEJU+(Dago)+%22Den+HASAN%22/@-6.9196288,106.9310481,20z/data=!4m6!3m5!1s0x2e684836ddd880b1:0xe5b72dcbaecd1f5a!8m2!3d-6.919626!4d106.9313561!16s%2Fg%2F11gfn8wsfx?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
1,-6.9197851,106.9312868,SPLU DAGO,Stasiun Pengisian Kendaraan Listrik,,"Alamat: Jl. Ir. H. Juanda No.4, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",Situs Web: pln.co.id ,,,,"https://www.google.com/maps/place/SPLU+DAGO/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e684943f84c3d37:0x72cd346dbd666d33!8m2!3d-6.9197851!4d106.9312868!16s%2Fg%2F11g1pyl8b9?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
2,-6.9198238,106.9313388,SMP negeri 2 sukabumi,Sekolah,,"Alamat: 3WJJ+3GG, Jl. Zaenal Zakse, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,9 bulan lalu,5 bintang,"https://www.google.com/maps/place/SMP+negeri+2+sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6849c8ef5458d3:0xc44c0f49f4a801e1!8m2!3d-6.9198238!4d106.9313388!16s%2Fg%2F11kr72y3ww?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
3,-6.9199559,106.9313408,CILOK PEDAS RACIKAN PILISI SUKABUMI,Kafe,Telepon: 0877-3015-6549 ,"Alamat: Jl. Ir. H. Juanda No.4, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/CILOK+PEDAS+RACIKAN+PILISI+SUKABUMI/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68495ceb11cfd1:0x872031ef3fb22ef!8m2!3d-6.9199559!4d106.9313408!16s%2Fg%2F11fd6cjtnt?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
4,-6.9201313,106.9312811,SD Mardi Waluya,Sekolah Dasar,Telepon: (0266) 221398 ,"Alamat: Jl. Ir. H. Juanda No.2, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,5 bulan lalu,5 bintang,"https://www.google.com/maps/place/SD+Mardi+Waluya/@-6.9201876,106.9307722,132m/data=!3m1!1e3!4m6!3m5!1s0x2e68483724d48895:0x61f3c908e3694ef4!8m2!3d-6.9201313!4d106.9312811!16s%2Fg%2F1hm2f_31w?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
5,-6.920239,106.9313409,SMP Mardi Waluya 2,Sekolah Menengah Pertama,Telepon: 0811-1502-322 ,"Alamat: Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,9 bulan lalu,5 bintang,"https://www.google.com/maps/place/SMP+Mardi+Waluya+2/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68497b9215fc43:0x579cb59d0fb318e5!8m2!3d-6.920239!4d106.9313409!16s%2Fg%2F11pg5p36yj?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
6,-6.9204595,106.9316124,Gudang Besar Premiere,Gudang,Telepon: 0858-4652-4542 ,"Alamat: 3WHJ+RJ9, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,Sejak ada premiere Makan lebih praktis,2 tahun lalu,5 bintang,"https://www.google.com/maps/place/Gudang+Besar+Premiere/@-6.9201876,106.9307722,132m/data=!3m1!1e3!4m6!3m5!1s0x2e6849cd39367f55:0x815d6d6eed79ec35!8m2!3d-6.9204595!4d106.9316124!16s%2Fg%2F11r_80q5yt?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
7,-6.9205384,106.9314072,Halte Dago Sukabumi,Kantor Perusahaan,,"Alamat: 3WHJ+QHM, Jl. R. E. Martadinata, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,4 tahun lalu,5 bintang,"https://www.google.com/maps/place/Halte+Dago+Sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e684973cdc78eb7:0x2fbe645e8af7e7e0!8m2!3d-6.9205384!4d106.9314072!16s%2Fg%2F11g0wgncnm?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
8,-6.9185703,106.9317844,Dirza coffe naga,Kedai Kopi,,"Alamat: 3WJJ+HPF, Gg. Adireja, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,,,,"https://www.google.com/maps/place/Dirza+coffe+naga/@-6.918996,106.9307722,20z/data=!4m6!3m5!1s0x2e68490030058993:0x1617775079afedc2!8m2!3d-6.9185703!4d106.9317844!16s%2Fg%2F11vt0j45bc?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
9,-6.9187148,106.9315395,Mr cane,Restoran,Telepon: 0895-1705-3897 ,"Alamat: Jl. Ir. H. Juanda, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/Mr+cane/@-6.918996,106.9307722,20z/data=!4m6!3m5!1s0x2e6837a5714a0c45:0xf842155693eae409!8m2!3d-6.9187148!4d106.9315395!16s%2Fg%2F11jdvpg49x?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
