,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link,intersect
0,-6.919626,106.9313561,"PISANG KEJU (Dago) ""Den HASAN""",Kafe,Telepon: 0856-2464-0633 ,"Alamat: 3WJJ+4GX, Jl. Ir. H. Juanda, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/PISANG+KEJU+(Dago)+%22Den+HASAN%22/@-6.9196288,106.9310481,20z/data=!4m6!3m5!1s0x2e684836ddd880b1:0xe5b72dcbaecd1f5a!8m2!3d-6.919626!4d106.9313561!16s%2Fg%2F11gfn8wsfx?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
1,-6.919743,106.9304157,Taman Kanak-Kanak (TK) Mardi Waluya,Kelompok Bermain,Telepon: (0266) 244223 ,"Alamat: Gg. Ajid I No.11, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/Taman+Kanak-Kanak+(TK)+Mardi+Waluya/@-6.9201876,106.9307722,132m/data=!3m1!1e3!4m6!3m5!1s0x2e684836d9917fb5:0x5ecc18dbdf993141!8m2!3d-6.919743!4d106.9304157!16s%2Fg%2F1pzyr9kzh?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",False
2,-6.9197446,106.9295305,Mochi Arjuna Wijaya,Kedai Hidangan Penutup,Telepon: 0857-0372-3733 ,"Alamat: Jl. R. E. Martadinata Gg. Ajid I No.11, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,"Setelah main ke jembatan gantung situ gunung disempetin mampir ke sini. Salah satunya beli mochi arjuna paket kombinasi. Beli mochinya cuma 1 krn kupikir sama aja dg mochi2 dr daerah lain. Ternyata respon anggota keluarga yg makan mochi ini sgt beda dg yg lain...mere pada bilang ""ueenaak"". Nyesel deh cuma beli 1.",2 minggu lalu,5 bintang,"https://www.google.com/maps/place/Mochi+Arjuna+Wijaya/@-6.9197446,106.9292088,132m/data=!3m1!1e3!4m6!3m5!1s0x2e684845f1a4bb5d:0x5106779c71bc9bdb!8m2!3d-6.9197446!4d106.9295305!16s%2Fg%2F1pzthwc_t?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",False
3,-6.9198145,106.931011,Batagor & Siomay Mang Udin My 2,Toko Makanan,Telepon: 0857-2068-5555 ,"Alamat: Jl. Ir. H. Juanda No.1, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,setahun lalu,4 bintang,"https://www.google.com/maps/place/Batagor+%26+Siomay+Mang+Udin+My+2/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6848372745c663:0xde0e216e1e490847!8m2!3d-6.9198145!4d106.931011!16s%2Fg%2F11f03nwcck?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",False
4,-6.9197851,106.9312868,SPLU DAGO,Stasiun Pengisian Kendaraan Listrik,,"Alamat: Jl. Ir. H. Juanda No.4, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",Situs Web: pln.co.id ,,,,"https://www.google.com/maps/place/SPLU+DAGO/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e684943f84c3d37:0x72cd346dbd666d33!8m2!3d-6.9197851!4d106.9312868!16s%2Fg%2F11g1pyl8b9?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
5,-6.9198189,106.929612,Madarsah Panggeuing,Sekolah,,"Alamat: Jl. R. E. Martadinata Gg. Ajid I No.11, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/Madarsah+Panggeuing/@-6.9198188,106.9292903,132m/data=!3m1!1e3!4m6!3m5!1s0x2e6849c8de320209:0xbb2786543ecd99a5!8m2!3d-6.9198189!4d106.929612!16s%2Fg%2F11v56m__ms?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",False
6,-6.9198238,106.9313388,SMP negeri 2 sukabumi,Sekolah,,"Alamat: 3WJJ+3GG, Jl. Zaenal Zakse, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,9 bulan lalu,5 bintang,"https://www.google.com/maps/place/SMP+negeri+2+sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6849c8ef5458d3:0xc44c0f49f4a801e1!8m2!3d-6.9198238!4d106.9313388!16s%2Fg%2F11kr72y3ww?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
7,-6.9199559,106.9313408,CILOK PEDAS RACIKAN PILISI SUKABUMI,Kafe,Telepon: 0877-3015-6549 ,"Alamat: Jl. Ir. H. Juanda No.4, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/CILOK+PEDAS+RACIKAN+PILISI+SUKABUMI/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68495ceb11cfd1:0x872031ef3fb22ef!8m2!3d-6.9199559!4d106.9313408!16s%2Fg%2F11fd6cjtnt?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
8,-6.919988,106.9310191,Dago House Food and Coffee Bar,Kedai Kopi,Telepon: 0815-6320-2477 ,"Alamat: Jl. Ir. H. Juanda No.5, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,15 menit lalu,3 bintang,"https://www.google.com/maps/place/Dago+House+Food+and+Coffee+Bar/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68483727328813:0x60849e2174dde142!8m2!3d-6.919988!4d106.9310191!16s%2Fg%2F11gcn1kwc5?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",False
9,-6.9200488,106.9299775,Enzy Enterprise,Toko Game,Telepon: 0818-0834-0068 ,"Alamat: Sukabumi Indah Plaza, Jl. R. E. Martadinata, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/Enzy+Enterprise/@-6.9200488,106.9296557,20z/data=!4m6!3m5!1s0x2e684836d51c5c11:0xc7db2591c45f07b0!8m2!3d-6.9200488!4d106.9299775!16s%2Fg%2F1pzsrqgg9?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",False
