,Unnamed: 0.1,Unnamed: 0,text,scores,boxes,centroid,source,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link
0,0,0,9,0.5854337215423584,"[[1396.0, 4.0], [1426.0, 4.0], [1426.0, 24.0], [1396.0, 24.0]]",POINT (1411 14),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.919626,106.9313561,"PISANG KEJU (Dago) ""Den HASAN""",Kafe,Telepon: 0856-2464-0633 ,"Alamat: 3WJJ+4GX, Jl. Ir. H. Juanda, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/PISANG+KEJU+(Dago)+%22Den+HASAN%22/@-6.9196288,106.9310481,20z/data=!4m6!3m5!1s0x2e684836ddd880b1:0xe5b72dcbaecd1f5a!8m2!3d-6.919626!4d106.9313561!16s%2Fg%2F11gfn8wsfx?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
1,1,1,q,0.8978416323661804,"[[374.0, 24.0], [396.0, 24.0], [396.0, 44.0], [374.0, 44.0]]",POINT (385 34),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
2,2,2,o taman kkanaakanak,0.6059600710868835,"[[626.0, 72.0], [795.0, 67.0], [796.0, 109.0], [627.0, 114.0]]",POINT (711 90.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.919743,106.9304157,Taman Kanak-Kanak (TK) Mardi Waluya,Kelompok Bermain,Telepon: (0266) 244223 ,"Alamat: Gg. Ajid I No.11, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/Taman+Kanak-Kanak+(TK)+Mardi+Waluya/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e684836d9917fb5:0x5ecc18dbdf993141!8m2!3d-6.919743!4d106.9304157!16s%2Fg%2F1pzyr9kzh?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
3,3,3,spanna,0.5159063935279846,"[[1263.0, 65.0], [1279.0, 68.0], [1269.0, 121.0], [1253.0, 118.0]]",POINT (1266 93),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
4,4,4,chi arjuna wijaya,0.9978615045547484,"[[72.0, 88.0], [180.0, 90.0], [180.0, 112.0], [72.0, 110.0]]",POINT (126 100),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
5,5,5,r h '4 1p,0.5906050205230713,"[[1247.0, 110.0], [1276.0, 115.0], [1263.0, 189.0], [1234.0, 184.0]]",POINT (1255 149.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
6,6,6,batao & soioy,0.5196102857589722,"[[995.0, 127.0], [1150.0, 132.0], [1149.0, 176.0], [994.0, 171.0]]",POINT (1072 151.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9198145,106.931011,Batagor & Siomay Mang Udin My 2,Toko Makanan,Telepon: 0857-2068-5555 ,"Alamat: Jl. Ir. H. Juanda No.1, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,setahun lalu,4 bintang,"https://www.google.com/maps/place/Batagor+%26+Siomay+Mang+Udin+My+2/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6848372745c663:0xde0e216e1e490847!8m2!3d-6.9198145!4d106.931011!16s%2Fg%2F11f03nwcck?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
7,7,7,splu dago,0.9620510935783386,"[[1332.0, 122.0], [1440.0, 119.0], [1440.0, 141.0], [1332.0, 144.0]]",POINT (1386 131.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9197851,106.9312868,SPLU DAGO,Stasiun Pengisian Kendaraan Listrik,,"Alamat: Jl. Ir. H. Juanda No.4, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",Situs Web: pln.co.id ,,,,"https://www.google.com/maps/place/SPLU+DAGO/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e684943f84c3d37:0x72cd346dbd666d33!8m2!3d-6.9197851!4d106.9312868!16s%2Fg%2F11g1pyl8b9?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
8,8,8,madarsah panggeuing,0.9706588983535768,"[[80.0, 142.0], [258.0, 142.0], [258.0, 167.0], [80.0, 167.0]]",POINT (169 154.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9198189,106.929612,Madarsah Panggeuing,Sekolah,,"Alamat: Jl. R. E. Martadinata Gg. Ajid I No.11, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/Madarsah+Panggeuing/@-6.9198188,106.9292903,20z/data=!4m6!3m5!1s0x2e6849c8de320209:0xbb2786543ecd99a5!8m2!3d-6.9198189!4d106.929612!16s%2Fg%2F11v56m__ms?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
9,9,9,dago,0.8664335012435913,"[[1358.0, 167.0], [1422.0, 167.0], [1422.0, 195.0], [1358.0, 195.0]]",POINT (1390 181),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9198238,106.9313388,SMP negeri 2 sukabumi,Sekolah,,"Alamat: 3WJJ+3GG, Jl. Zaenal Zakse, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,9 bulan lalu,5 bintang,"https://www.google.com/maps/place/SMP+negeri+2+sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6849c8ef5458d3:0xc44c0f49f4a801e1!8m2!3d-6.9198238!4d106.9313388!16s%2Fg%2F11kr72y3ww?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
