,text,scores,boxes,centroid,source,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link
0,juanda,0.9610312581062317,"[[1264.0, 62.0], [1286.0, 67.0], [1270.0, 126.0], [1248.0, 120.0]]",POINT (1267.0138181818181 93.81406060606061),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
1,chi arjuna wijaya,0.9750803709030151,"[[71.0, 87.0], [182.0, 92.0], [181.0, 114.0], [70.0, 109.0]]",POINT (126 100.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9197446,106.9295305,Mochi Arjuna Wijaya,Kedai Hidangan Penutup,Telepon: 0857-0372-3733 ,"Alamat: Jl. R. E. Martadinata Gg. Ajid I No.11, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,"Setelah main ke jembatan gantung situ gunung disempetin mampir ke sini. Salah satunya beli mochi arjuna paket kombinasi. Beli mochinya cuma 1 krn kupikir sama aja dg mochi2 dr daerah lain. Ternyata respon anggota keluarga yg makan mochi ini sgt beda dg yg lain...mere pada bilang ""ueenaak"". Nyesel deh cuma beli 1.",6 hari lalu,5 bintang,"https://www.google.com/maps/place/Mochi+Arjuna+Wijaya/@-6.9197446,106.9292088,20z/data=!4m6!3m5!1s0x2e684845f1a4bb5d:0x5106779c71bc9bdb!8m2!3d-6.9197446!4d106.9295305!16s%2Fg%2F1pzthwc_t?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D"
2,madarsah-panggeuing,0.9846673011779785,"[[106.0, 146.0], [256.0, 146.0], [256.0, 165.0], [106.0, 165.0]]",POINT (181 155.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
3,dago,0.8632258176803589,"[[1361.0, 167.0], [1427.0, 172.0], [1425.0, 196.0], [1359.0, 191.0]]",POINT (1393 181.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9198516,106.9313125,Dago,Sekolah,,"Alamat: Jl. R. E. Martadinata No.37, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,setahun lalu,5 bintang,"https://www.google.com/maps/place/Dago/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6849596d5f78eb:0x896419f6d260780c!8m2!3d-6.9198516!4d106.9313125!16s%2Fg%2F11fnvvtk71?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D"
4,h.juanda,0.9834303855895996,"[[1214.0, 299.0], [1240.0, 305.0], [1222.0, 390.0], [1196.0, 385.0]]",POINT (1217.9873672121732 344.68963537180593),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
5,soto dag,0.9268566370010376,"[[1325.0, 6.0], [1380.0, 10.0], [1379.0, 26.0], [1324.0, 22.0]]",POINT (1352 16),"https://www.google.com/maps/@-6.918996,106.9307722,20z?",,,,,,,,,,,
6,sate,0.9969968795776367,"[[1004.0, 52.0], [1030.0, 52.0], [1030.0, 66.0], [1004.0, 66.0]]",POINT (1017 59),"https://www.google.com/maps/@-6.918996,106.9307722,20z?",,,,,,,,,,,
8,ajid 2,0.9976350665092468,"[[1025.0, 132.0], [1048.0, 137.0], [1037.0, 185.0], [1014.0, 180.0]]",POINT (1031 158.5),"https://www.google.com/maps/@-6.918996,106.9307722,20z?",,,,,,,,,,,
9,kasih sukabumi,0.9048575758934021,"[[261.0, 185.0], [368.0, 192.0], [367.0, 214.0], [260.0, 207.0]]",POINT (314 199.5),"https://www.google.com/maps/@-6.918996,106.9307722,20z?",,,,,,,,,,,
10,ayam ge,0.9018532037734985,"[[268.0, 179.0], [322.0, 179.0], [322.0, 193.0], [268.0, 193.0]]",POINT (295 186),"https://www.google.com/maps/@-6.918996,106.9307722,20z?",,,,,,,,,,,
