,text,scores,boxes,centroid,source,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link
0,9,0.5761110782623291,"[[1396.0, 4.0], [1426.0, 4.0], [1426.0, 24.0], [1396.0, 24.0]]",POINT (1411 14),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.919626,106.9313561,"PISANG KEJU (Dago) ""Den HASAN""",Kafe,Telepon: 0856-2464-0633 ,"Alamat: 3WJJ+4GX, Jl. Ir. H. Juanda, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/PISANG+KEJU+(Dago)+%22Den+HASAN%22/@-6.9196288,106.9310481,20z/data=!4m6!3m5!1s0x2e684836ddd880b1:0xe5b72dcbaecd1f5a!8m2!3d-6.919626!4d106.9313561!16s%2Fg%2F11gfn8wsfx?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
2,q,0.8978415131568909,"[[374.0, 24.0], [396.0, 24.0], [396.0, 44.0], [374.0, 44.0]]",POINT (385 34),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
3,epuenr,0.7644319534301758,"[[1263.0, 65.0], [1277.0, 67.0], [1269.0, 120.0], [1255.0, 118.0]]",POINT (1266 92.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
4,chi arjuna wijaya,0.9972379207611084,"[[72.0, 88.0], [180.0, 90.0], [180.0, 112.0], [72.0, 110.0]]",POINT (126 100),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
5,batao & soioy,0.5206909775733948,"[[995.0, 127.0], [1150.0, 132.0], [1149.0, 176.0], [994.0, 171.0]]",POINT (1072 151.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
6,splu dago,0.9474393725395203,"[[1332.0, 122.0], [1440.0, 119.0], [1440.0, 141.0], [1332.0, 144.0]]",POINT (1386 131.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9197851,106.9312868,SPLU DAGO,Stasiun Pengisian Kendaraan Listrik,,"Alamat: Jl. Ir. H. Juanda No.4, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",Situs Web: pln.co.id ,,,,"https://www.google.com/maps/place/SPLU+DAGO/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e684943f84c3d37:0x72cd346dbd666d33!8m2!3d-6.9197851!4d106.9312868!16s%2Fg%2F11g1pyl8b9?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
7,madarsah panggeuing,0.9416265487670898,"[[80.0, 142.0], [258.0, 142.0], [258.0, 167.0], [80.0, 167.0]]",POINT (169 154.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
8,dago,0.8477654457092285,"[[1358.0, 167.0], [1422.0, 167.0], [1422.0, 195.0], [1358.0, 195.0]]",POINT (1390 181),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
9,o raok andalsi..,0.6940515041351318,"[[1344.0, 233.0], [1486.0, 233.0], [1486.0, 277.0], [1344.0, 277.0]]",POINT (1415 255),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
10,and coffee bar,0.9647718667984009,"[[1002.0, 275.0], [1099.0, 271.0], [1100.0, 291.0], [1003.0, 295.0]]",POINT (1051 283),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.919988,106.9310191,Dago House Food and Coffee Bar,Kedai Kopi,Telepon: 0815-6320-2477 ,"Alamat: Jl. Ir. H. Juanda No.5, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,Tempat nongkrong yg nyaman menu ramah kantong,4 hari lalu,5 bintang,"https://www.google.com/maps/place/Dago+House+Food+and+Coffee+Bar/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68483727328813:0x60849e2174dde142!8m2!3d-6.919988!4d106.9310191!16s%2Fg%2F11gcn1kwc5!5m1!1e1?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
